#スペカナンバー,スペカ名,"タイプ
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,疾風扇,1,0,団扇から突風を巻き起こして攻撃空中から撃つと地面を這う特殊な軌道に変化する,0,1,104,1,108,1,0,0,11,100
101,疾走風靡,1,1,風を纏って前方へ高速突撃する　風がシェルターになり移動中は　グレイズ属性が付加されている,0,1,105,1,109,1,212,3,11,120
102,天狗の立風露,1,4,空中でつむじ風の足場を作り出す任意方向へ再ジャンプ可能になり足場を反動で下方向へ飛ばす　　空中専用で地上での入力は不可能,0,1,106,1,110,1,0,0,11,140
103,暗夜の礫,1,3,大量の鴉を呼び寄せて攻撃させる攻撃の時間差が大きく連携し易い呼び出されるのは普通の鴉なので攻撃を受けると逃げてしまう点に注意,0,1,107,1,111,1,208,2,11,130
104,烈風扇,1,0,カッター状の突風を広範囲に拡散弾速は下がったが攻撃範囲は増加ボタンで拡散角度を調整可能,1,1,205,2,0,0,0,0,11,101
105,疾走優美,1,1,疾走風靡の変形版　　　　　　　速度とグレイズ能力を失ったが　一回の方向転換が可能になった　,1,1,0,0,0,0,0,0,11,121
106,天狗のダウンバースト,1,4,風を纏った急降下キックで攻撃　着地時に突風で周囲を吹き飛ばすボタンで突風の性質が変化する　こちらも空中専用なので注意,1,1,203,3,0,0,0,0,11,141
107,鎌風ベーリング,1,3,周囲に風の鎧を纏う特殊な技　　鎧は文の移動に追従し接触だけで敵を攻撃することが出来る　　　地上、空中間の移動で消滅する　,1,1,211,2,0,0,0,0,11,131
108,楓扇風,1,0,前方に縦に伸びる小型竜巻を発生相手を宙に舞い上げてしまう射撃小型といってもそれなりの高さで相手への牽制効果は大きい,0,1,200,3,0,0,0,0,11,102
109,天狗ナメシ,1,1,前方上空へ飛び出し後ろへ向けて風の塊を叩き付ける変わった技　距離が適正なら敵の背後を突き　奇襲として効果を発揮する,1,1,206,5,0,0,0,0,11,122
110,天狗の太鼓,1,4,その場から跳躍し敵を踏みつけるヒットすると後方にジャンプ　　この時軌道は有る程度操作可能でボタンを押すと追加攻撃へ派生　,1,1,207,3,0,0,0,0,11,142
111,天狗礫,1,3,風で上空に石礫を舞い上げて置きそれらを任意のタイミングで敵の頭上に雨の様に降らせる　　　　石礫大量に舞い上げるほど　　　降って来る数も増加,0,1,202,4,0,0,0,0,11,132
200,旋符「紅葉扇風」,2,3,遥か上空まで届く竜巻を発射　　飛距離は短いが巻き込んだ敵を　無防備に上空へ打ち上げる　　　,0,3,201,4,0,0,0,0,11,220
201,竜巻「天孫降臨の道しるべ」,2,5,自分自身を巨大な竜巻で包み込む威力が高く無敵時間も持つため　反撃や上空の敵への攻撃に強力　,0,4,0,0,0,0,0,0,11,240
202,逆風「人間禁制の道」,2,4,しばらくフィールドに風を起こし飛んでくる飛散物で敵を攻撃する風には敵を押す効果もあるため　画面端へ追い込む際にも有効,1,4,0,0,0,0,0,0,11,230
203,突符「天狗のマクロバースト」,2,3,空中専用のカードで、上空から　下方向に風圧弾を一斉発射　　　発射地点に近いほど弾が当たり　威力や削りが増大する,1,3,0,0,0,0,0,0,11,221
205,風符「天狗道の開風」,2,2,団扇を横に一閃し手元から　　　旋風を射出するシンプルな射撃　,0,2,0,0,0,0,0,0,11,210
206,「幻想風靡」,2,5,敵を体当たりで跳ね上げ　　　　最大加速を付けた状態で何度も　追撃を行う超大技　　　　　　　左右に振って追撃高度を上げられ敵に高度を合わせると威力上昇,1,5,0,0,0,0,0,0,11,241
207,風符「天狗報即日限」,2,2,周囲の風の動きを味方につけ　　自身の移動速度を大きく上げる技天狗の早足の要の一つ,1,3,0,0,0,0,0,0,11,211
208,鴉符「暗夜のデイメア」,2,4,鴉の群を敵に嗾けて攻撃する　　鴉を従えるのは鴉天狗の能力だがどれ程の権限を持つかは本人の　力や人望ならぬ鳥望に左右される彼女の場合は想像にお任せする,1,2,0,0,0,0,0,0,11,231
211,魔獣「鎌鼬ベーリング」,2,1,周囲に風の鎧を纏う特殊なスペル鎧は文の移動に追従し接触だけで敵を攻撃することが出来る　　　地上、空中間の移動で消滅する　,1,2,0,0,0,0,0,0,11,200
212,突風「猿田彦の先導」,2,3,疾走風靡の純粋強化版スペル　　風を利用した最大加速で敵へ突撃グレイズ属性はそのままに速度と威力が強化された,1,3,0,0,0,0,0,0,11,222
