#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,アイシクルシュート,1,0,冷気でツララ状の氷塊を作り　　敵へ向けて連射する射撃技　　　そのままだと威力が低いが　　　ホールドで弾が増え威力が増大　弾速が速く相手を打ち抜きやすい,0,1,104,1,108,1,200,2,16,100
101,真夏のスノーマン,1,1,氷の玉を作り出して転がす技　　玉は継続的に冷気を集め成長し　転がすほど巨大化。最後は玉を　突き飛ばして相手にぶつける　　転がしている最中は打撃属性,0,1,105,1,109,1,0,0,16,120
102,リトルアイスバーグ,1,4,頭上に氷塊を作り、それを気合で投げ飛ばす射撃技。　　　　　　この手の巨大な塊は手元にしか　作れないため、飛ばして使うには一苦労するらしい,0,1,106,1,110,1,0,0,16,140
103,フリーズタッチミー,1,2,自分の体温を一時的に大きく下げ周囲の空気を瞬時に凍らせて攻撃所謂「さわるととうしょう」　　,0,1,107,1,111,1,205,2,16,110
104,フロストピラーズ,1,0,足元の地面に大量の冷気を注入　一瞬で巨大な霜柱が成長して敵を空へと打ち上げる　　　　　　　地面の中の蛙を凍らせる練習の　副産物で出来た技である,1,1,201,4,0,0,0,0,16,101
105,アイスチャージ,1,1,冷気で自分を覆う氷の塊を作り　相手へ自分ごと体当たりする　　速度、判定共に使いやすい良技　,1,1,207,3,0,0,0,0,16,121
106,アイシクルボム,1,4,不安定な低温の塊を打ち出す　　塊は相手に近寄る事で崩れて　　氷の破片が周囲にばら撒かれる　調子が良いと弾けた時に良い音がするらしい,1,1,202,3,0,0,0,0,16,141
107,アイシクルライズ,1,2,足元を冷やすことで霜柱を発生　弾丸として上空へ発射する技　　生えてくる霜柱にも判定があり　対空だけでなく近距離攻撃にも　役に立ってくれる,1,1,0,0,0,0,0,0,16,111
108,冷凍光線,1,0,冷気ビームを三方向に発射する　射撃技として非常に安定しており対空対地ともに効果を発揮する　一本より三本の方が強いという　実に単純な発想が良い結果に　　,1,1,213,3,0,0,0,0,16,102
109,アイスキック,1,1,冷気を噴出しながら錐揉みキック空中で出すと直接相手に向け突進態々錐揉みする必要も無いのだが彼女的にはカッコイイらしい,1,1,203,2,0,0,0,0,16,122
110,フローズン冷凍法,1,4,短射程の冷気を噴き付け、敵を　氷付けにしてしまう弾幕技　　　防御の上から氷に閉じ込めるためガードは無意味。反面発射は遅くグレイズされると無防備　　,1,1,210,2,0,0,0,0,16,142
111,アイシクルソード,1,2,氷で武器を作り、それを使って　相手に飛び掛る突進技　　　　　氷で作る武器にバリエーションが有るそうなのだが、殆ど使い分け出来ていないため余り意味が無い,1,1,207,3,0,0,0,0,16,112
200,氷符「アイシクルマシンガン」,2,2,ツララ状の氷塊を手元から大連射射出が早く弾速もあるが遠距離で当りムラが出易く、相殺性能が　低いため遠距離では意外な撃ち負けが有る事も,0,2,0,0,0,0,0,0,16,210
201,霜符「フロストコラムス」,2,4,地面全体を一瞬にして凍結させ　巻き込んだ相手の身動きを封じる単体では威力に難アリなので　　上手い事追撃を加えたい　　　　主にイライラした時に使用される,0,4,0,0,0,0,0,0,16,230
202,氷塊「コールドスプリンクラー」,2,3,超低温の塊を作り出し発射する　噴出す冷気が瞬時に氷の槍になり触れた相手を切り裂く　　　　　実は技を出すより、自分の弾を　避ける方が彼女にとって高難度　,0,3,0,0,0,0,0,0,16,220
203,冷体「スーパーアイスキック」,2,3,上空から錐揉みキックを見舞う　相手に接触する時間を延ばせば　さらに威力を上げられるのだが　目が回るのでこれが限界らしい　全く回転する必要は無いのだが…,1,2,0,0,0,0,0,0,16,221
204,凍符「パーフェクトフリーズ」,2,5,全方位に雪礫を放出して攻撃　　これらの弾を空間に凍結させる　止まった弾は時間が立つと溶けて再び活動を再開。画面中に散る,0,5,0,0,0,0,0,0,16,240
205,氷符「フェアリースピン」,2,2,その場で回転し、冷気で作った　ツララを周囲にばら撒く　　　　威力は控えめだが範囲は広い　　回って撃てば敵が何処でも当る　という発想で出来た技,2,2,206,4,0,0,0,0,16,211
206,吹氷「アイストルネード」,2,4,その場で大回転し、渦巻く冷気が局地的な大吹雪を発生させる　　冷気の及ぶ範囲は時間で拡大し　特に横方向に対し大きく伸びる　使用直後から無敵時間もアリ,1,4,0,0,0,0,0,0,16,231
207,氷符「ソードフリーザー」,2,3,手元に水を凍らせたツララの剣を発生させ、勢い任せに突っ込む技思った通りの形に氷を作るのは　難しいらしいのだが、それは　　彼女のオツムが足りてないのが…,1,3,208,4,0,0,0,0,16,222
208,氷塊「グレートクラッシャー」,2,5,大量の氷を集めて作った塊で殴打見た目通りの大きな判定を持ち　威力も高く空中ガードが出来ない取り合えずなんだか凄くてゴツイ形をイメージするとコレが出来た,0,4,0,0,0,0,0,0,16,241
210,凍符「フリーズアトモスフェア」,2,3,一時的に周囲の温度を超低温にし周囲に発生する結晶で攻撃する　この時は触れるだけでダメージになる程の温度なのだが、張り付くのが嫌で態々避けているという,0,2,204,5,0,0,0,0,16,223
213,冷符「瞬間冷凍ビーム」,2,3,三方向に強化冷気ビームを照射　ビームを増やせばもっと強いかと思ったが、４本は無理だったので仕方なく長くする事で妥協した　三つまでしか数えられないのか？,0,3,0,0,0,0,0,0,16,224
