"#スペカナンバー","スペカ名","タイプ
0 スペルカード
1 スキルカード
2 システムカード
255　敵専用","消費","カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％"
0,"ナマズ「ほらほら世界が震えるぞ？」",255,3500,,3600,
1,"ナマズ「ほらほら世界が震えるぞ？」",255,4000,,3600,
2,"ナマズ「ほらほら世界が震えるぞ？」",255,4500,,3600,
3,"ナマズ「ほらほら世界が震えるぞ？」",255,5000,,3600,
4,"ナマズ「液状化現象で大地も泥のようじゃ！」",255,3500,,3600,
5,"ナマズ「液状化現象で大地も泥のようじゃ！」",255,4000,,3600,
6,"ナマズ「液状化現象で大地も泥のようじゃ！」",255,4500,,3600,
7,"ナマズ「液状化現象で大地も泥のようじゃ！」",255,5000,,3600,
8,"ナマズ「発電だって頑張っちゃうぞ？」",255,3500,,3600,
9,"ナマズ「発電だって頑張っちゃうぞ？」",255,4000,,3600,
10,"ナマズ「発電だって頑張っちゃうぞ？」",255,4500,,3600,
11,"ナマズ「発電だって頑張っちゃうぞ？」",255,5000,,3600,
12,"ナマズ「オール電化でエコロジーじゃ！」",255,3500,,3600,
13,"ナマズ「オール電化でエコロジーじゃ！」",255,4000,,3600,
14,"ナマズ「オール電化でエコロジーじゃ！」",255,4500,,3600,
15,"ナマズ「オール電化でエコロジーじゃ！」",255,5000,,3600,
16,"大ナマズ「これで浮き世もおしまいじゃあ！！」",255,3500,,0,
17,"大ナマズ「これで浮き世もおしまいじゃあ！！」",255,4000,,0,
18,"大ナマズ「これで浮き世もおしまいじゃあ！！」",255,4500,,0,
19,"大ナマズ「これで浮き世もおしまいじゃあ！！」",255,5000,,0,
248,"003 EASY",255,5000,,3600,
249,"003 NORMAL",255,5500,,3600,
250,"003 HARD",255,6000,,3600,
251,"003 LUNATIC",255,6500,,3600,
252,"004 EASY",255,7000,,3600,
253,"004 NORMAL",255,8000,,3600,
254,"004 HARD",255,9000,,3600,
255,"004 LUNATIC",255,10000,,3600,
