#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,
100,サマーレッド,1,0,火属性魔法の基本発展形　　　　前方に大型の火炎弾を射出する　貫通力と威力に優れ使いやすいが直線ゆえ回避され易くも有る,0,1,105,1,110,1,0,0,4,100
101,ウィンターエレメント,1,4,水属性魔法の基本発展形　　　　敵の足元に水脈を呼び寄せ　　　高水圧の噴水を発生させ攻撃する,0,1,106,1,111,1,0,0,4,140
102,スプリングウィンド,1,2,木属性魔法の基本発展形　　　　風圧で敵の攻撃をいなすと同時に敵を押し返し距離を取ることが出来る,0,1,107,1,112,1,0,0,4,110
103,オータムエッジ,1,1,金属性魔法の基本発展形　　　　金属元素を利用し鋭利な刃を生成操作により敵へ殺到させる　　　威力は小さいが数に物を言わせた厚さが最大の売り,0,1,108,1,113,1,0,0,4,120
104,ドヨースピア,1,3,土属性魔法の基本発展形　　　　地中から宝石の槍が出現し　　　上空から敵へと襲い掛かる　　　,0,1,109,1,114,1,0,0,4,130
105,サマーフレイム,1,0,火属性魔法の特殊発展形　　　　威力ではなく範囲を重視し前方の広い角度へ炎を発生させる　　　掠った位の威力は微々たる物だが回避に大きな動きを強制できる　,1,1,200,2,0,0,0,0,4,101
106,コンデンスドバブル,1,4,水属性魔法の防御強化形　　　　相手の攻撃を受け止める泡の盾　有る程度攻撃を受けると割れるがこの時攻撃力が有るため反撃可能,1,1,206,3,0,0,0,0,4,141
107,フラッシュオブスプリング,1,2,木属性魔法の攻撃特化形　　　　手元に超高圧の空気の塊を作り　それを相手へとぶつける射撃技　超弾速が特徴で射線上の相手は　目視からの回避も困難となる,1,1,207,2,0,0,0,0,4,111
108,オータムブレード,1,1,金属性魔法の攻撃特化形　　　　金属元素を集め丸鋸状の刃を作り相手へと投げつける　　　　　　鋸は上下に狙いが広く当て易い上床で跳ね返る特性がある,1,1,202,2,0,0,0,0,4,121
109,エメラルドシティ,1,3,土属性魔法の防御特化形　　　　地中から宝石の壁を作り出し　　周囲の敵を吹き飛ばして攻撃する本体に無敵時間が有り範囲も広く切り返しとして強力,1,1,212,3,0,0,0,0,4,131
110,ワイプモイスチャー,1,0,火属性魔法の物理発展形　　　　炎を一繋がりの帯状に発生させ　鞭のようになぎ払う打撃技　　　重さも無く非力な彼女の振りでも熱としなりで大ダメージになる,0,1,211,3,0,0,0,0,4,102
111,スティッキーバブル,1,4,水属性魔法の拘束特化形　　　　泡のスプレーを噴射し、敵を宙に浮かせて捕まえる非破壊攻撃　　泡はガード不能だが敵が怯まず　大量に当てないと効果は無い　　,0,1,201,2,0,0,0,0,4,142
112,スタティックグリーン,1,2,木属性魔法の対空特化系　　　　手元に球電を発生させ飛び上がり上空で上下に炸裂させ攻撃する　木属性をベースとした電気操作は安定面で改良の余地が多いらしい,0,1,210,3,0,0,0,0,4,112
113,フォールスラッシャー,1,1,金属性魔法の変則攻撃形　　　　金属元素から剣を練成し保持　　それを敵へ向けて飛ばす射撃　　ホールドすると剣を装着したまま本体が行動可能になる変り種,0,1,0,0,0,0,0,0,4,122
114,ダイアモンドハードネス,1,3,土属性魔法の耐性強化形　　　　一時的に体を堅固な状態にする　硬化中は一度だけ敵の攻撃を　　耐える事が可能で、攻めや守りで少しの無茶が可能になる,1,1,205,5,0,0,0,0,4,132
200,火金符「セントエルモピラー」,2,3,火、金の合成符　　　　　　　　高密度の熱の塊を作り出し発射　地面に叩き付ける事で火柱とする射出時に敵の足元を狙うため　　踏み込まれると外れやすい,0,2,203,5,0,0,0,0,4,220
201,土水符「ノエキアンデリュージュ」,2,2,土、水の合成符　　　　　　　　圧縮した水を前方へ吹き付ける技消費が少なく弾速、密度も良好で相手との射ち合いで効果を発揮,0,2,0,0,0,0,0,0,4,210
202,金木符「エレメンタルハーベスター」,2,2,金、木の合成符　　　　　　　　歯車の形をした刃で周囲を守り　近くの敵を迎撃する防御スペル　,0,2,0,0,0,0,0,0,4,211
203,日符「ロイヤルフレア」,2,5,小型の太陽を作り出し全てを光で焼き払う彼女の最高峰魔法の一つ吸血鬼の館に住む者が使う魔法としては何とも因縁めいた物である,1,5,0,0,0,0,0,0,4,240
204,月符「サイレントセレナ」,2,4,展開した魔法陣から月の光を収束した光の矢を発射して敵を射抜く魔法陣の内側は不可侵領域となりその中心に居るパチュリーには　鉄壁の守りとなる,1,4,0,0,0,0,0,0,4,230
205,火水木金土符「賢者の石」,2,5,元素練成したマジックアンプ　　必殺技に石が反応して追加攻撃　弾幕を強固にする　　　　　　　砕けた石は効果時間が続く限り　時間経過で再生する,1,5,0,0,0,0,0,0,4,241
206,水符「ジェリーフィッシュプリンセス」,2,3,泡による防護壁を生成して装着　泡が攻撃を受け止めてくれる　　泡が有る限り本体は無敵だが　　泡が大きくグレイズ出来ないので長時間の効果は期待しにくい,1,3,0,0,0,0,0,0,4,221
207,月木符「サテライトヒマワリ」,2,3,上空に自立攻撃を行う光弾を放つ光弾は螺旋状に上昇しながら下へ弾をばら撒き援護してくれる,1,2,213,4,0,0,0,0,4,222
210,日木符「フォトシンセシス」,2,3,周囲の魔力を凝縮させた場を作り中に入ると霊力の回復が促進　　無尽蔵に射撃が使える状態になる光はパチュリーを緩やかに追尾　,1,3,204,4,0,0,0,0,4,223
211,火水符「フロギスティックピラー」,2,3,上下に向けて火種を放ち、床と　天井を広がる炎で追い込むカード火種が着火するまで威力はないが地上空中で使用でき、範囲が広い,1,3,0,0,0,0,0,0,4,224
212,土金符「エメラルドメガロポリス」,2,4,地中から宝石の柱群が出現し　　敵を次々打ち上げるスペルカード展開は緩やかな速度だが、遅さを利用して長時間の行動制限が可能,1,3,0,0,0,0,0,0,4,231
