#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,クロースアップマジック,1,2,ナイフを周りに回転させ跳躍　　触れた相手を切り裂く打撃技　　飛び上がりにグレイズ判定が在り上空からの弾幕攻撃に強い,0,1,104,1,108,1,0,0,2,110
101,バウンスノーバウンス,1,1,壁と天井で跳ね返るナイフを発射威力は微小だがナイフが壁を作り投網の様に敵の行動を制限する,0,1,105,1,109,1,0,0,2,120
102,マジックスターソード,1,0,時間加速で威力を重視したナイフ高速で正面にまとめて飛ばす為　真っ向からの撃ち合いに優れる,0,1,106,1,110,1,207,2,2,100
103,バニシングエブリシング,1,4,時間を停止させて咲夜が移動　　普通は移動中を認識できない為　一種のワープ技として機能する　立ち位置にカードを残しているが彼女自身マジックのつもりらしい,0,1,107,1,111,1,0,0,2,140
104,プロペリングシルバー,1,2,周回軌道で飛ぶ変則ナイフ投げ　壁として設置する使い方も勿論　周回軌道上に相手を置ければ　　強力な攻撃にもなる攻防一体,1,1,200,3,0,0,0,0,2,111
105,スクウェアリコシェ,1,1,質を重視した跳弾型のナイフ　　速度、反射回数、命中回数が増加アバウトに投げる使い方より　　連携を意識した運用が要求される,1,1,208,2,0,0,0,0,2,121
106,離剣の見,1,0,ナイフを投げた後に時間を操作　空中で停止させ待機させる技　　設置されたナイフは時間経過か　次の設置に反応して速度が戻る,1,1,212,3,0,0,0,0,2,101
107,パーフェクトメイド,1,4,敵の攻撃を受ける直前に時間停止背後へ回りつつナイフで取り囲む打撃に反応を集中しているため　飛び道具は後頭部に直撃する,1,1,201,3,0,0,0,0,2,141
108,ダンシングスターソード,1,2,周囲にナイフを浮かせて保持するナイフは咲夜の打撃と一緒に発射相手に突き刺さる弾丸となる　　打撃の種類で速度や角度が変化し戦闘のサポートとなってくれる,0,1,202,2,0,0,0,0,2,112
109,ミスディレクション,1,1,ナイフをトスし、それを大量に　増やして敵へ向けて殺到させる　ナイフは相手の脇を狙って飛び　慌てて動いた相手を捕らえる,0,1,206,3,0,0,0,0,2,122
110,パラレルブレーン,1,0,実体の無いナイフを投げつけ　　軌跡上に次々とナイフが実体化し相手へ向けて殺到する広域弾幕　咲夜が別の動作取ると設置元が　消えてしまうが捕捉範囲は広い,0,1,211,3,0,0,0,0,2,102
111,タイムパラドックス,1,4,咲夜がもう一人現れ敵を攻撃する射撃のように見えるが物理属性で色々奇妙な特性を併せ持つ　　　原理としては別時間の自分を云々（以下略）,0,1,0,0,0,0,0,0,2,142
200,幻符「殺人ドール」,2,2,広範囲にばら撒かれたナイフが　敵へと向きを変えて殺到,0,3,203,5,0,0,0,0,2,210
201,時符「プライベートスクウェア」,2,3,彼女の十八番の時間操作スペル　これは周囲の時間を遅延させる　相手がスローになり、攻防の面で圧倒的優位に立つことが出来る,0,3,204,5,0,0,0,0,2,220
202,傷符「インスクライブレッドソウル」,2,3,両手のナイフで敵を滅多切り　　発生が早く短射程だが範囲は広い無敵技でもあり隙も少ない万能技一見直接打撃のように見えるが　実は射撃扱いで有る事に注意,1,2,205,4,0,0,0,0,2,221
203,幻葬「夜霧の幻影殺人鬼」,2,4,殺人ドールの強化版スペル　　　ナイフが一度画面外に退避し　　目で追う事も困難な速度で敵へと襲い掛かる時間差攻撃,0,5,0,0,0,0,0,0,2,230
204,「咲夜の世界」,2,5,時間操作スペル最高峰の一つ　　周囲の時間を完全に停止させ　　一方的に攻撃を行う反則スペル　ただし消費、隙共に特大,1,5,0,0,0,0,0,0,2,240
205,傷魂「ソウルスカルプチュア」,2,4,傷符の強化版に当たるスペル　　威力、範囲共に大幅に拡大　　　,1,4,0,0,0,0,0,0,2,231
206,銀符「シルバーバウンド」,2,2,大量の反射ナイフを同時発射　　ナイフ単体の威力は抑え目だが　攻撃範囲と弾数はかなりの物　　,1,3,0,0,0,0,0,0,2,211
207,奇術「エターナルミーク」,2,2,前方へ向けてナイフを連射する　ヤケクソで投げているだけと言う噂があるが真偽は定かではない　,1,2,0,0,0,0,0,0,2,212
208,速符「ルミネスリコシェ」,2,3,画面を何度も跳ね回る貫通ナイフナイフは反射の度に攻撃力が復帰結果相手を長時間拘束する,1,2,210,4,0,0,0,0,2,222
209,時符「咲夜特製ストップウォッチ」,2,4,時間停止フィールドを飛ばす技　捕まった相手はフィールドから　離れるまで動きを封じられる,1,4,0,0,0,0,0,0,2,232
210,光速「Ｃ．リコシェ」,2,4,高速のナイフを投げ、跳弾として時間差で敵を貫く　　　　　　　幻惑効果が高く、滅茶苦茶の様で最後の跳弾の狙いは極めて正確,1,4,0,0,0,0,0,0,2,233
211,時符「イマジナリバーチカルタイム」,2,3,停止時間中にナイフを投げ　　　時間を複写する事で軌跡上に　　多重のナイフを発生させ包囲する,1,3,0,0,0,0,0,0,2,223
212,時計「ルナダイアル」,2,3,時間停止領域を混めた時計を投げヒットした敵の時間を止める　　大きな追撃が狙えるが停止までにタイムラグがあるのが欠点,1,3,209,4,0,0,0,0,2,224
