#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,風起こし,1,0,フィールドに神風を起こし　　　風の渦を作り出す射撃技　　　　渦は飛翔の風に流され移動する,0,1,104,1,108,1,0,0,15,100
101,おみくじ爆弾,1,4,御神籤の札を放り投げる必殺技で結果に応じた内容で敵を攻撃する早苗本人にも中は判らないので　どの効果が出るかは神のみぞ知る,0,1,105,1,109,1,203,3,15,140
102,乾神招来　突,1,2,神奈子の神力を借りる技　　　　力が神奈子の形に顕現し攻撃する性質はスタンダードな突進技で　扱いやすい形になっている,0,1,106,1,110,1,0,0,15,110
103,坤神招来　盾,1,1,諏訪子の神力を借りる技　　　　力が諏訪子の形に顕現して早苗を守る泡の盾を作り出す　　　　　盾は一定量のダメージを受けるか時間経過するまでその場に固定　,0,1,107,1,111,1,0,0,15,120
104,波起こし,1,0,地上を左右に水流が走る弾幕技　水は離れるほど弱まるが　　　　限界射程まで確実に水は噴出し　敵の弾幕をかき消して行く,1,1,204,3,0,0,0,0,15,101
105,スカイサーペント,1,4,投げた札が白蛇に転じて飛翔する白蛇は直進軌道だが、敵を上下に感知すると直角に曲がって追う,1,1,200,2,0,0,0,0,15,141
106,乾神招来　風,1,2,神奈子の神力を借りる技　　　　力が神奈子の形に顕現し突風を　フィールドに発生させて攻撃　　風の帯は飛翔の風を当てることで上下に動かすことが出来る　　　,1,1,0,0,0,0,0,0,15,111
107,坤神招来　鉄輪,1,1,諏訪子の神力を借りる技　　　　こちらは顕現した力が敵を直接　攻撃し、相手を押さえ込む連携技早苗は比較的早い段階から自由に動けるので同時攻撃が可能となる,1,1,0,0,0,0,0,0,15,121
108,星落とし,1,0,早苗の頭上に輝く星が出現　　　印を組むと同時に下方へ落下する星は大雑把だが敵へ向かって落下下方向へは広い補足範囲を誇る,1,1,206,2,0,0,0,0,15,102
109,コバルトスプレッド,1,4,投げた札が地面に潜り、敵の前で炸裂弾になって地中から飛び出す地中を進む為敵弾の影響を受けず射撃戦の緩急の役を担う,1,1,201,2,0,0,0,0,15,142
110,乾神招来　御柱,1,2,神奈子の神力を借りる技　　　　力が神奈子の形に顕現し御柱の雨が周辺へ降り注ぐ技　　　　　　早苗自身は無敵で護られており　潰され難いカウンター技,1,1,0,0,0,0,0,0,15,112
111,坤神招来　罠,1,1,諏訪子の神力を借りる技　　　　顕現した力が地中に潜み、敵が　接近すると地中から攻撃する　　地雷のような技で、グレイズ不可相手の行動を大きく制限できる,1,1,0,0,0,0,0,0,15,122
200,祈願「商売繁盛守り」,2,2,大量の札で相手を押しつぶす技　数の割りに威力は控えめだが　　隙も小さく本体の周囲が手薄に　なり難い為、気軽に使える,0,2,210,5,0,0,0,0,15,210
201,秘術「グレイソーマタージ」,2,2,星の形に印を打ち、そこから　　弾ける光で敵を貫く弾幕攻撃　　弾速が遅めで範囲が広いため　　対地対空問わず牽制となる,0,2,202,4,0,0,0,0,15,211
202,秘術「忘却の祭儀」,2,4,巨大な星印を組み、周囲を不可侵の結界とする防御系の大技　　　　効果の発揮までワンテンポ有るが長い無敵で守られている点が強み,0,4,0,0,0,0,0,0,15,230
203,神籤「乱れおみくじ連続引き」,2,2,着弾まで効果不明の御神籤を乱射投げる場所も効果も謎の上　　　自分にも害をなす結果が出るが　良い目が噛み合うとコスト以上の結果が得られることも,1,3,0,0,0,0,0,0,15,212
204,開海「海が割れる日」,2,3,早苗から左右へ巨大な波が走る　進行速度が緩やかで離れた敵には波に追いついての同時攻撃も可能,0,3,205,5,0,0,0,0,15,220
205,開海「モーゼの奇跡」,2,5,上空に転移し地上の敵へ強烈な　一撃を加える打撃系スペルカード転移開始まで無防備だが、以後はグレイズ判定が付くため、射撃を撒く遠距離の相手へ強襲も可能,1,5,0,0,0,0,0,0,15,240
206,奇跡「白昼の客星」,2,3,頭上に輝く星を呼び出し攻撃　　星は一定時間で上へと移動するがこの時下方へ星屑を撒き散らす　上空への発生は非常に早く対空や星屑の雨を連携に使う事も可能,1,2,207,4,0,0,0,0,15,221
207,奇跡「客星の明るすぎる夜」,2,4,星の印を組み、上空へ飛ばすと　天から強烈な光が降り注ぐ奇跡　光は画面上部を覆い、高所に居る敵に対しての攻撃となる、一種の全域攻撃,1,4,0,0,0,0,0,0,15,231
210,秘法「九字刺し」,2,5,九字の印を切り格子状の結界を　画面上に生成する大技　　　　　結界は敵の行動を大きく制限し　触れない限り長時間存在するため効果中は早苗の独壇場となる,0,5,0,0,0,0,0,0,15,241
