"#ファイル名","曲名"
"data/bgm/op2.ogg","君はあの影を見たか"
"data/bgm/select.ogg","萃夢想"
"data/bgm/ta00.ogg","日常坐臥"
"data/bgm/ta01.ogg","甲論乙駁"
"data/bgm/ta03.ogg","風光明媚"
"data/bgm/ta05.ogg","以魚駆蠅"
"data/bgm/ta04.ogg","冷吟閑酔"
"data/bgm/ta06.ogg","暮色蒼然"
"data/bgm/ta20.ogg","伝説の巨神"
"data/bgm/ta21.ogg","ぼくらの非想天則"
"data/bgm/ta22.ogg","人形のある風景"
"data/bgm/sr2.ogg","悠久の蒸気機関"
"data/bgm/st30.ogg","信仰は儚き人間の為に"
"data/bgm/st31.ogg","おてんば恋娘"
"data/bgm/st32.ogg","上海紅茶館　～ Chinese Tea"
"data/bgm/st33.ogg","霊知の太陽信仰　～ Nuclear Fusion"
"data/bgm/st34.ogg","明日ハレの日、ケの昨日"
"data/bgm/st35.ogg","アンノウンＸ　～ Unfound Adventure"
"data/bgm/st36.ogg","空に浮かぶ物体Ｘ"
"data/bgm/st40.ogg","二色蓮花蝶 ～ Ancients"
"data/bgm/st41.ogg","恋色マジック"
"data/bgm/st42.ogg","the Grimoire of Alice"
"data/bgm/st43.ogg","ヴワル魔法図書館"
