#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,マインドエクスプロージョン,1,0,ロケット弾に似た弾丸を発射　　何かに触ると精神波を撒き散らす弾丸自体は低速だが爆発効果で　弾幕の押し合いに強い,0,1,104,1,108,1,207,3,10,100
101,イリュージョナリィブラスト,1,1,前方に狂気の波長を収束して攻撃所謂レーザー攻撃に近いため　　貫通性能が非常に高い　　　　　,0,1,105,1,109,1,0,0,10,120
102,フィールドウルトラレッド,1,2,周囲に波長変換フィールドを設置内部に入った敵の視覚が混乱して鈴仙を認識出来ない状態にする　波長操作での認識外への潜伏は　彼女の得意とする所,0,1,106,1,110,1,211,3,10,110
103,ディスビリーフアスペクト,1,4,波長変化を利用した幻影を投射　幻影は射撃による攻撃を行う　　幻影は実体のように動くため　　一種の幻惑効果も併せ持つ,0,1,107,1,111,1,0,0,10,140
104,マインドベンディング,1,0,広範囲に散弾タイプの弾丸を発射初速も速くなり敵に当てやすいが代わりに威力に大きなムラが出る欠点を抱える事となってしまった,1,1,202,3,0,0,0,0,10,101
105,アイサイトクリーニング,1,1,視線の範囲を示すサイトを展開　キーを押し続けて範囲を拡大し　離した時に範囲内に相手が居れば狂気の視線波が敵を瞬時に捉える,1,1,204,4,0,0,0,0,10,121
106,フィールドウルトラバイオレット,1,2,敵の認識を狂わせる波長を展開　相手は無い筈の物が見えてしまい虚像の鈴仙から攻撃を受ける　,1,1,210,3,0,0,0,0,10,111
107,ディスオーダーアイ,1,4,映像を周囲に複数飛ばす　　　　散開したダミーは射出地点へ収束敵へダメージを与える　　　　　映像展開後収束まで本体は無敵,1,1,0,0,0,0,0,0,10,141
108,マインドドロッピング,1,0,上空へ向けて弾丸を発射　　　　空中で弾け飛び地上へ降り注ぐ　分裂前も対空射撃として機能し　散弾で本体との同時攻撃も可能,1,1,208,2,0,0,0,0,10,102
109,リップルヴィジョン,1,1,リング状の視線ビームを発射　　リングは時間と共に巨大化し　　遠距離ほど回避が困難になる,1,1,200,2,0,0,0,0,10,122
110,アンダーセンスブレイク,1,2,直接攻撃能力を持つ狂気の視線波シンプルに攻撃や防御に役立ち　実戦で扱いやすいタイプ,1,1,206,2,0,0,0,0,10,112
111,アキュラースペクトル,1,4,複数の虚像を相手に見せ、それに紛れて移動する特殊なダッシュ　移動する前にキーで出現地点を　予め選択することが出来る　　　,0,1,0,0,0,0,0,0,10,142
200,惑視「離円花冠(カローラヴィジョン)」,2,1,飛距離比例で巨大化するリング弾消費が少ない割りに範囲が広く　牽制等気軽に使いやすい,0,2,203,3,0,0,0,0,10,200
202,幻爆「近眼花火(マインドスターマイン)」,2,3,全方向へ精神爆弾の弾丸を一斉に発射する射撃スペルカード　　　弾丸は時間差で炸裂し周囲の敵を一斉に攻撃する,0,3,0,0,0,0,0,0,10,220
203,幻惑「花冠視線(クラウンヴィジョン)」,2,3,飛距離で巨大化するリング弾を　高速で連射するスペル　　　　　,1,3,0,0,0,0,0,0,10,221
204,赤眼「望見円月(ルナティックブラスト)」,2,4,上空へ向けて強烈な思念波を照射空に居る広範囲の敵を攻撃する　本来遠方の月兎との交信手段だがその使い方をされる事は二度と　無いのだろう,1,4,0,0,0,0,0,0,10,230
205,「幻朧月睨(ルナティックレッドアイズ)」,2,5,相手を狂気に追いやる波長の渦を広範囲に発生させる。威力、範囲に優れるが発動はそれ相応の重さ,1,5,0,0,0,0,0,0,10,240
206,弱心「喪心喪意(ディモチヴェイション)」,2,1,至近距離から狂気の視線を浴びせ相手のカードを一枚破壊　　　　さらに短時間相手を混乱状態にし必殺技の使用を封印する,0,2,207,3,0,0,0,0,10,201
207,喪心「喪心創痍(ディスカーダー)」,2,3,精神破壊効果のある弾丸を発射　命中するとカードを二枚破壊するさらに敵を混乱させカードの　　使用を封印する効果もあり戦局を優位に運ぶ手助けとなる,1,3,0,0,0,0,0,0,10,222
208,毒煙幕「瓦斯織物の玉」,2,2,空気と反応してガス化する薬品　ガスは比重が空気より重いため　地表に溜まり敵の体力を奪う　　ちなみに本人は解毒薬服用済み,1,2,209,4,0,0,0,0,10,210
209,生薬「国士無双の薬」,2,3,永琳印の強壮薬を使用　　　　　身体能力が向上し攻撃、防御力が試合中に渡り服用毎に上昇する　なお使い過ぎるとアレな物だが　本人には知らされていない　　　,1,4,0,0,0,0,0,0,10,223
210,短視「超短脳波(エックスウェイブ)」,2,3,敵の認識を狂わせる波長を放射　当たると幻の鈴仙が認識され　　有りもしない残像からダメージを受ける状態に陥る,1,3,0,0,0,0,0,0,10,224
211,長視「赤月下(インフレアドムーン)」,2,2,狂気の視線の力を大きく解放して混乱波長を撒き散らす状態になり暫く周囲から認識されなくなる　余り他人と接触したがらないので生活でも割と使っているようだ,1,3,205,5,0,0,0,0,10,211
