#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,フレアアップ,1,2,核融合エネルギーを周囲に放出　螺旋状に登り周囲の敵を焼き払う,0,1,104,1,108,1,0,0,18,110
101,グラウンドメルト,1,0,制御棒で収束した熱線で地表を　なぎ払う射撃技。熱線自体に　　攻撃力は無いが、地面で爆発が　発生し攻撃する,0,1,105,1,109,1,0,0,18,100
102,ブレイクサン,1,4,頭上に太陽のような発光体を作りそれが弾けた余波で敵を攻撃するホールドで発光体を成長させると攻撃はより強力になる,0,1,106,1,110,1,212,4,18,140
103,シューティングスター,1,1,画面上を浮かび上がり移動する　その軌跡にエネルギー弾を撒き　少し間をおいて飛散させる　　　本人は移動だけしているつもりで攻撃の自覚は無い,0,1,107,1,111,1,0,0,18,120
104,ロケットダイブ,1,2,核融合エネルギーを推力利用した突進技。判定が大きく高威力だが画面外まで飛んでいくため隙が　大きくなるのが問題点,1,1,209,3,0,0,0,0,18,111
105,ヘルゲイザー,1,0,地中で核融合を発生させ、その　エネルギーを地上へ噴出させ攻撃斜めに発射され、敵が飛ぶ方向もその方向に準じているため　　　連続技などに使う場合癖が有る　,1,1,207,3,0,0,0,0,18,101
106,シューティングサン,1,4,頭上に核融合エネルギーを収束　それを地面へ叩きつけ爆発させる収束体は空の意思がある限り　　安定した状態のため、爆発まで　他の射撃の影響を受けない,1,1,205,3,0,0,0,0,18,141
107,レトロ原子核モデル,1,1,エネルギー弾を発射し空の周囲を回転追尾させる。　　　　　　　弾丸は盾にも武器にもなるため　出すだけでその後を有利に運べる動きの大振りな空には便利な技,1,1,203,2,0,0,0,0,18,121
108,メルティング浴びせ蹴り,1,2,敵を組み敷き分解を司る左足から直接エネルギーを叩き込む　　　一種の投げでガードが出来ないが屈んでいる相手には空を切る,1,1,211,2,0,0,0,0,18,112
109,レイディアントブレード,1,0,エネルギーをチャージしつつ接近十分距離が詰まったところで　　相手へ向けて放射して攻撃する　突進技と射撃の中間のような技で固めに霊力削りに効果を発揮,1,1,208,2,0,0,0,0,18,102
110,地獄波動砲,1,4,光弾を散布し、本人の意思で　　指向性を前に収束して炸裂させるホールド入力で光弾の拡散具合を調整し、最大溜めで光線に,1,1,200,3,0,0,0,0,18,142
111,核熱の怨霊,1,1,弱で出すと核マーカーを設置し　強で出す事で自分との延長線上にエネルギー弾が乱射される　　　射出開始後に本体が移動した場合射線もそれに追従する,1,1,213,2,0,0,0,0,18,122
200,爆符「メガフレア」,2,3,核エネルギーを収束、発射する　空の能力の使い方でシンプルな物単純な割りに火力だけは高いので正面から打ち消すのはほぼ不可能,0,3,201,4,0,0,0,0,18,220
201,爆符「ギガフレア」,2,5,大容量の核エネルギーを発生させ自分の前方全てを焼き尽くす　　範囲、威力申し分ないが、見た目通り後ろはガラ空きである,0,4,0,0,0,0,0,0,18,240
203,焔星「フィクストスター」,2,3,リング状に連なる核エネルギーを相手に向けて投擲する　　　　　発射されたエネルギーリングは　有る程度進むと逆行を開始し　　再度敵へ背後から襲い掛かる,1,2,204,4,0,0,0,0,18,221
204,焔星「十凶星」,2,4,球状に安定させた核エネルギーを回転軌道で制御して攻撃する　　周囲から上方に掛けてカバーし　防御的な使い方も期待できる,0,4,0,0,0,0,0,0,18,230
205,核符「クリーピングサン」,2,3,上空に核融合反応を発生させる　反応が生み出したエネルギーで　太陽のような光体が発生し、十分成長した所でそれに下方向へ　　指向性を持たせて攻撃する　　　,1,3,0,0,0,0,0,0,18,222
206,「地獄の人工太陽」,2,1,吸引能力の有るエネルギー体を　前方へ射出し、空が断続的に　　エネルギーを注入し続ける　　　手札を全て使う大規模攻撃,1,5,0,0,0,0,0,0,18,200
207,地熱「核ブレイズゲイザー」,2,4,地面に核エネルギーを打ち込み　それがマグマとなって地面から　次々と噴出してくる大技　　　　マグマは新しい噴出し口へ移動し攻撃を繰り返す,1,3,0,0,0,0,0,0,18,231
208,光熱「ハイテンションブレード」,2,3,制御棒からブレード状に熱放射　有限射程の技だが接近してから　発射するため実質の間合いは広い懐中電灯代わりに使う事も有るが正直勘弁して欲しい,0,2,0,0,0,0,0,0,18,223
209,鴉符「八咫烏ダイブ」,2,4,核融合反応を体内で発生させ　　輝く鳥のようなシルエットを纏い地上の敵へと襲い掛かる突進技　敵に背を見せない地獄鴉の意地を見せる技でもある,0,3,210,4,0,0,0,0,18,232
210,核熱「核反応制御不能ダイブ」,2,4,核融合エネルギーを大量に推力へ転換して行う突進技。　　　　　画面の左右を縦横無尽に駆け回り複数回に渡る攻撃を叩き込む,0,4,0,0,0,0,0,0,18,233
211,制御「セルフトカマク」,2,2,核融合エネルギーを周囲に循環　飛翔、前ダッシュなどの相手への移動動作の際に活性化させる技　精密操作が必要で、空の鳥頭では他の攻撃を考えると維持不可能に,1,2,214,5,0,0,0,0,18,210
212,「サブタレイニアンサン」,2,4,地底からエネルギーを引き出し　その場に即席の太陽を作り出す技太陽は一定の箇所に出現し、辺りを焼く,0,4,0,0,0,0,0,0,18,234
213,遮光「核熱バイザー」,2,2,自身の前方にバリアを発生させるバリアは一定回数攻撃するか、　一定時間が経過するまで空の前に常に張り付いてくれる,0,2,206,5,0,0,0,0,18,211
214,「アビスノヴァ」,2,5,核エネルギーを体内で循環増幅　リミットを越えると空が周囲を　焼き尽くす灼熱の太陽と化す　　太陽は判定が広くガード不能　　彼女にとっても結構熱い技,0,5,0,0,0,0,0,0,18,241
