#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,龍魚の一撃,1,0,羽衣を螺旋状に腕に巻きつけ　　放電させつつ相手を突く打撃技　横方向の間合いが広く隙も少ない衣玖の中距離打撃における主力　,0,1,104,1,108,1,201,2,13,100
101,羽衣は水の如く,1,2,構えから羽衣で流れるように打つ攻撃しながらガードをしており　射撃や打撃をいなして討ち取る　,0,1,105,1,109,1,208,3,13,110
102,龍魚の怒り,1,4,雷を頭上へ導き落雷を発生させる落雷は周囲に電流のバリアを形成衣玖に近い敵を焼き払う　　　　無敵時間などは無いが迎撃型の技,0,1,106,1,110,1,202,3,13,140
103,静電誘導弾,1,1,手元へ電流を導きそれを発射する電流は直線状に走っていくが　　ホールド入力で敵へ向けて屈折をさせることが出来る　　　　　　,0,1,107,1,111,1,200,2,13,130
104,龍神の一撃,1,0,羽衣に周囲の静電気をチャージ　前方に一気に放出して攻撃する　射程は限られるが上下に逃げ難いホールドで放電範囲も増加,1,1,0,0,0,0,0,0,13,101
105,羽衣は風の如く,1,2,特殊な気流の風を放つ　　　　　威力は全く無いが、長時間弾丸を跳ね返す壁となり　　　　　　　配置次第で射撃戦を支配できる　空気を読める彼女ならではの技,1,1,207,4,0,0,0,0,13,111
106,龍神の怒り,1,4,落雷を導きそれによって攻撃する落雷地点は自分、敵基準を選択　ボタンを押し続けることで落雷　タイミングを制御する,1,1,203,3,0,0,0,0,13,141
107,龍神の稲光り,1,1,後方に放った電流を敵へ屈折　　発射弾数が多く範囲も広い　　　屈折前は攻撃力を持たない点に　注意さえすれば牽制や撃ち合いに光る技である,1,1,0,0,0,0,0,0,13,131
108,水得の龍魚,1,0,風の流れに身を任せ同化する事で普段の動きから想像も付かない　高速のステップ移動を行う　　　,1,1,0,0,0,0,0,0,13,102
109,天女の一撃,1,2,上空に羽衣を伸ばし敵を捕まえて掴んだ相手に電撃をお見舞いする羽衣は身につけた物の意思通りに動かせるため、熟練した使い手は綾取りすらお手の物である,0,1,209,3,0,0,0,0,13,112
110,龍神の髭,1,4,雷を周囲に拡散させる射撃技　　雷の流れはある程度上下キーで　コントロールが可能となっているこの稲妻の線で暗雲中で交信を　仲間と行う事もあるとか,0,1,210,5,0,0,0,0,13,142
111,龍の眼,1,1,光体を二つ発射し、間に発生する放電によって攻撃する射撃技　　光体は回転軌道を描くため複雑な攻撃判定を形成する,1,1,211,4,0,0,0,0,13,132
200,電符「雷鼓弾」,2,1,電流を球状に収束させ放射　　　ある程度進んだところで全方向に弾けさせて攻撃をする　　　　　,0,2,206,3,0,0,0,0,13,200
201,魚符「龍魚ドリル」,2,3,羽衣を螺旋状に腕に巻きつけ　　大放電状態で敵を突く打撃スペル放電の範囲が広い上踏み込むため地上での射程距離が非常に広い,0,2,0,0,0,0,0,0,13,220
202,雷符「エレキテルの龍宮」,2,3,上空から落雷を自分の上に誘導　周囲を守る電流のバリアとする　,0,3,0,0,0,0,0,0,13,221
203,光星「光龍の吐息」,2,3,頭上に電流を導き雷球を形成　　触れた相手を感電させる対空技　,1,3,0,0,0,0,0,0,13,222
206,雷魚「雷雲魚遊泳弾」,2,2,方向転換を繰り返す稲妻を発射　効果の続く間敵を足止めする　　撃つだけで効果を期待できるが　威力は低い,1,3,0,0,0,0,0,0,13,210
207,羽衣「羽衣は空の如く」,2,4,周囲の気流で攻撃を受け流す技　ダッシュや大ジャンプに打撃を　回避する能力が付与され移動する衣玖を捉えるのが難しくなる　　ペースを握るにはうってつけ,1,4,0,0,0,0,0,0,13,230
208,羽衣「羽衣は時の如く」,2,1,羽衣を使って敵の攻撃を受け流す使用後一定時間、攻撃をガードしカード使用ボタンを押すと手札を一枚消費してカウンターを行う　十分な手札があれば要塞状態に,1,3,0,0,0,0,0,0,13,201
209,棘符「雷雲棘魚」,2,3,電流を自身に導き帯電状態になり敵がこの状態の衣玖に触れると　電撃が襲い掛かる攻防一体の技　雷雲での生活の知恵である　　　,1,3,0,0,0,0,0,0,13,223
210,龍魚「龍宮の使い遊泳弾」,2,5,螺旋状の電流を羽衣から放つ　　本体は無防備だが電流が防護壁の役目を果たし敵の行動を阻害する,1,5,0,0,0,0,0,0,13,240
211,珠符「五爪龍の珠」,2,4,五筋の稲妻が星を描いて突き進む五本の爪の象徴であるこの技は　龍の代弁者と言われる竜宮の使いにとって、非常に高位な技である,1,4,0,0,0,0,0,0,13,231
