#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,迷わず生きた人霊,1,0,鎌を打ちつけ怨霊を地中に射出　地面を潜って進み敵を検知すると垂直に向きを変え浮上する,0,1,104,1,108,1,0,0,12,100
101,浮かばれない地縛霊,1,2,地中の霊を活性化し噴出させる　出てきた地縛霊は落ち着くと　　攻撃力を有して辺りを漂う　　　見た目通り周囲広範囲へ攻撃　　,0,1,105,1,109,1,0,0,12,110
102,脱魂の儀,1,4,自分と相手の位置を入れ替える　移動手段や幻惑だけでなく　　　相手に隙を作る事も可能　　　　特定の動作やシナリオでは無効,0,1,106,1,110,1,0,0,12,140
103,怠惰に生きた浮遊霊,1,1,画面を漂う怨霊弾を連射する　　速度は遅いが独特の軌道で飛び　相手をゆっくりと追い詰める　　,0,1,107,1,111,1,202,2,12,120
104,死神の大鎌,1,0,円弧状に鎌を一閃しなぎ払う　　射程が独特で軌跡の外も内側も　当てるには慣れが要る　　　　　,1,1,206,4,0,0,0,0,12,101
105,死出の風,1,2,鎌を回転させ周囲を切り刻む　　攻撃範囲が広く置いておくように振り回して使え、先読み気味の　カウンターから連続技に威力発揮,1,1,0,0,0,0,0,0,12,111
106,無間の道,1,4,距離を操る能力を駆使した技で　内側で左右への移動を妨害する　場を作り出す技　　　　　　　　敵は場を越える移動が困難になり場の中に入ると脱出も難しくなる,1,1,211,3,0,0,0,0,12,141
107,寂しがり屋の緊縛霊,1,1,一見無害の幽霊を纏わり付かせるそのままでは飾りに過ぎないが　下強射等で活性爆発を起こせる　,1,1,205,2,0,0,0,0,12,121
108,通りすがりの人霊,1,0,地面に鎌を打ち、画面端から　　地を這う飛び道具を発射する技　ボタンに応じて前後を選択でき　不意打ち、同時攻撃を得意とする,1,1,0,0,0,0,0,0,12,102
109,三途の舟,1,2,船に飛び乗り体当たりする突進技地面の上を船？と思う所だが　　本人は細かい事は気にしていない船は支給品でガタも来ている為　上司にこの件で良く怒られている,0,1,200,2,0,0,0,0,12,112
110,お迎え体験版,1,4,一見普通に鎌を振るだけだが　　構え中に敵を寄せる効果を持つ　構え状態はホールドで延長でき　鎌の射程外に逃げられ難くなる　,1,1,201,5,0,0,0,0,12,142
111,離魂の鎌,1,1,怨霊を集めた刃を作り相手を斬る飛び散った怨霊に触れれば　　　奪い取らせた体力を回収したり　活性爆破の種として使用可能　　この技自体でも活性爆破ができる,0,1,207,3,0,0,0,0,12,122
200,舟符「河の流れのように」,2,1,三途の川の水を少し呼び出し　　船に乗って体当たりする豪快な技性質自体はシンプルな突進技,0,2,203,3,0,0,0,0,12,200
201,薄命「余命幾許も無し」,2,5,敵の体力を半分に削る恐ろしい技性質上試合の早い内に当てれば　大きな成果を得られる反面　　　機を逸すると消費に見合わない為的確な運用が要求される,1,5,0,0,0,0,0,0,12,240
202,霊符「何処にでもいる浮遊霊」,2,1,広範囲に幽霊をばら撒く射撃　　攻撃範囲が広く幽霊は画面内を　ふらふらと長時間滞在する,0,2,0,0,0,0,0,0,12,201
203,死歌「八重霧の渡し」,2,3,幽霊を先導して群れを作りだす技幽霊は先導に従って気ままに飛びダメージを与える弾幕になる　　実は職権乱用技らしい,1,4,0,0,0,0,0,0,12,220
204,換命「不惜身命、可惜身命」,2,5,体力を入れ替える前代未聞の技　ピンチが一瞬でチャンスに変わり態と攻撃される事すら可能になるそんな技が簡単に当たる事は無く消費も発生速度も重いカード,5,0,0,0,0,0,0,0,12,241
205,恨符「未練がましい緊縛霊」,2,3,強力な誘導性を持つ悪霊を呼ぶ　悪霊は敵に纏わり付き追尾するが特にこれといった攻撃はしない　活性爆発技との組み合わせ専用技,0,2,0,0,0,0,0,0,12,221
206,死符「死者選別の鎌」,2,4,地面に鎌を打ち込み、上空から　相手の頭上に射撃を落下させる　相手をサーチして落ちてくる反面動く相手には空振りしやすい,1,4,0,0,0,0,0,0,12,230
207,魂符「生魂流離の鎌」,2,4,怨霊を集めて作った刃を放つ　　刃は敵を切ると生命力を奪った　怨霊が飛び出し、小町が回収して間接的に体力を吸収できる　　　本人曰く余り使いたくない技,1,3,204,5,0,0,0,0,12,231
211,地獄「無間の狭間」,2,3,敵を斬り付けると同時に横移動を阻害する場を作り出す　　　　　効果中は間合いの主導権は小町が完全に掌握することが出来る　　,1,3,0,0,0,0,0,0,12,222
