#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,螺光歩,1,1,気を腕へ集めて練り上げ、それを敵へと叩き込む踏み込み突き　　高レベルになると踏み込みにも　攻撃力が発生する,0,1,104,1,108,1,0,0,17,120
101,紅砲,1,2,斜め上へ向け練った気の塊を放つ発射までは拳に直接攻撃力もあり上空の敵へ対して遠近共に効果的,0,1,105,1,109,1,204,2,17,110
102,黄震脚,1,4,練り上げた気を大地へ打ち込む　気は地中を拡散し周囲を攻撃する気の循環と大気、大地への放出は基本として重要な位置である,0,1,106,1,110,1,0,0,17,140
103,芳波,1,0,円弧の動きで気を循環させ　　　前方へ収束させて放つ気功波　　有限射程だが、届く範囲ならば　瞬時に攻撃が可能で貫通性も高い,0,1,107,1,111,1,0,0,17,100
104,烈虹拳,1,1,高速で突きを連打し、そこから　気弾を連続して放って敵を止め　最後に強力な裏拳を見舞う技　　接近状態での牽制と、そこからの致命打を狙って作られた　　　　,1,1,206,2,0,0,0,0,17,121
105,紅寸剄,1,2,腕に気を集中し、さらに全身の　力を乗せ絶大な威力の一撃を打つ初の試し撃ちでうっかり紅魔館の塀を破壊してしまい、キッツイ　お灸を据えられた曰く付きの技　,1,1,209,5,0,0,0,0,17,111
106,地龍波,1,4,地中に打ち込む気の質を収束させ距離による減衰を小さくした技　しかし基本空で戦うことが多い　幻想郷では日の目を見ることが　少ない悲運の技でもある　　　　,1,1,208,4,0,0,0,0,17,141
107,水形太極拳,1,0,渦状に気の流れを制御して射撃を飲み込む気の防壁を作り出し　　巻き込んだ敵弾諸共撃ち返す　　彼女なりのエコを気遣っている　,1,1,202,2,0,0,0,0,17,101
108,降華蹴,1,1,円弧を描く蹴りで頭上を攻める　見ての通り中段攻撃で、蹴りの　軌道上空対空でも打ち負けづらい,1,1,0,0,0,0,0,0,17,122
109,虎勁,1,2,全身の気の流れを一時的に活性化打撃の際に撃ち込む事で強化するこの状態で触れた最初の打撃は　強制的にカウンターヒットし　　高レベルでは威力も増加する,1,1,211,3,0,0,0,0,17,112
110,天龍脚,1,4,地中に打ち込む気の反動を使い　上空へ向け強烈な飛び蹴りを放つ空を翔る龍の如きシルエットを　持ち、彼女のお気に入り技の　　一つである,1,1,207,3,0,0,0,0,17,142
111,彩雨,1,0,周囲に気を循環させ、勢いのまま辺りへ飛び散らせる射撃技　　　本来は無心で規則的に放つ技だが彼女に夕食予想等の雑念がある為ばら撒かれる軌道はランダム　　,1,1,200,2,0,0,0,0,17,102
200,彩符「彩光風鈴」,2,2,全身で気の渦を作り出し攻撃する攻撃範囲はそれなりだが手軽な　無敵技であり、防御の基本である,0,2,201,4,0,0,0,0,17,210
201,極彩「彩光乱舞」,2,4,全身で強力な気の嵐を巻き起こす発生する気が強力になったため　その勢いで宙に舞うように変化　攻撃範囲も広く信頼性は高い,0,4,0,0,0,0,0,0,17,230
202,気符「星脈弾」,2,3,前方に高度に練り上げた気の塊をぶつける射撃系スペルカード　　スタンダードな射撃で弾も大きく扱いが容易である,0,2,203,4,0,0,0,0,17,220
203,星気「星脈地転弾」,2,5,長時間かけて気を練り上げる事で巨大な七色の気弾を作り出す　　練り上げている最中の気弾も　　攻撃能力が有り、この部分の　　発生速度は非常に早い,1,4,0,0,0,0,0,0,17,240
204,撃符「大鵬拳」,2,3,上方へ向けて渾身の打撃を打つ　無敵は上半身のみだが判定が強い敵の落下が早いためタイミングが難しいが、落ちてくる相手へ対し追撃が可能になっている,0,2,205,5,0,0,0,0,17,221
205,熾撃「大鵬墜撃拳」,2,5,三連続で強烈な打撃を見舞う　　出始めにアーマーが有り、攻撃を耐えて無理やり通すことも可能　威力は超一級で追撃も可能のため一発逆転のロマン溢れる一枚,1,5,0,0,0,0,0,0,17,241
206,虹符「烈虹真拳」,2,2,前方に向け気を込めた突きを乱打一見射撃だが完全な打撃技　　　判定は扇状に前方をカバーし　　距離が合えば地上も空中も射程内レバーで前後移動も可能である,1,2,0,0,0,0,0,0,17,211
207,気符「地龍天龍脚」,2,3,七色の気を練り込んだ跳び蹴り　踏み込みで相手を浮かせ、そこに蹴りで追撃できる為距離が近いと発生の遅さがカバーされる,1,3,0,0,0,0,0,0,17,222
208,彩華「虹色太極拳」,2,4,波紋の様に地表を流れる気の波を発生させる特殊な射撃カード　　波は非常にゆっくりと広がり　　長時間相手の行動を制限する　　,0,4,0,0,0,0,0,0,17,231
209,華符「彩光蓮華掌」,2,5,大量の気を直接相手に流し込み　スパークさせることで大打撃を　与える超大技打撃　　　　　　　悪魔やアンデッドに大ダメージ　との事だが、ガセネタのようだ,0,5,0,0,0,0,0,0,17,242
211,気符「猛虎内勁」,2,4,全身の気の流れを爆発的に高める以後一定時間連続技の初撃が　　必ずカウンターヒット扱いになりダメージも激増する,1,3,0,0,0,0,0,0,17,232
