#スペカナンバー,スペカ名,"タイプ
2 スペルカード
1 スキルカード
0 システムカード",消費,カード説明テキスト,#実績解除条件,#レアリティ,,,,,,,,sort
100,博麗アミュレット,1,0,追尾性能を持つお札を多数発射　　ホールドで発射数の増加が可能,0,1,104,1,108,1,0,0,0,100
101,警醒陣,1,1,札を投げ長時間残る結界を生成　　敵の飛び道具を遮る性能が高く　　ヒットした相手は行動不能になる,0,1,105,1,109,1,0,0,0,120
102,亜空穴,1,3,瞬時に立ち位置を転移し強襲　　攻撃内容はボタンで選択可能　　　,0,1,106,1,110,1,0,0,0,130
103,昇天脚,1,2,所謂サマーソルトキックで攻撃　　割り込み、連続技に使用可能だが隙は大きいので注意,0,1,107,1,111,1,214,3,0,110
104,妖怪バスター,1,0,直進する札を多数発射する　　　　追尾性は無いが発射が早くなり　攻撃的に使うには好都合,1,1,209,3,0,0,0,0,0,101
105,繋縛陣,1,1,敵を中心に結界を二つ作り出し　　敵の上下もしくは左右を封鎖する　挟み込む関係で動く標的に強いが別の行動に移ると結界は消滅する,1,1,207,3,0,0,0,0,0,121
106,封魔亜空穴,1,3,転移から高速の針を乱射して攻撃　ボタンで位置と射出方向を制御,1,1,208,2,0,0,0,0,0,131
107,抄地昇天脚,1,2,スライディングからキックに派生カウンターとして使い難くなるがリーチの長い下段になったため　連続技や奇襲に効果を発揮,1,1,0,0,0,0,0,0,0,111
108,拡散アミュレット,1,0,博麗アミュレットから追尾を除きその分弾幕を厚くした射撃技　　重ねた札を纏めて投げるため　　燃費は余り良くないらしい,1,1,200,2,0,0,0,0,0,102
109,常置陣,1,1,足元に結界を仕込み地雷にし　　結界を踏んだ相手を無防備にする二つ以上同時に設置できず　　　古い物は消えてしまうため注意,1,1,204,2,0,0,0,0,0,122
110,刹那亜空穴,1,3,札の身代わりを作り攻撃を受ける身代わりは攻撃を受けると弾け　飛び散った札で反撃を行う　　　便宜上は当身に近い挙動となる,1,1,219,5,0,0,0,0,0,132
111,雨乞祈り,1,2,ジャンプから宙返りしつつ、下へ短射程の結界を展開して当てる技非常に変則的な打撃で相手の　　不意を突く用途に特化する,0,1,0,0,0,0,0,0,0,112
200,霊符「夢想妙珠」,2,2,追尾性のある霊力弾を連射する　動く的に当てやすく数を打つため相手との撃ち合いにも使いやすい,0,2,201,4,0,0,0,0,0,210
201,神霊「夢想封印」,2,5,夢想系の基本最終形態の一つ　　　大量の追尾弾を殺到させ敵を封殺　死角の少ない技だが消費の割りに威力は控えめな点が欠点,0,4,0,0,0,0,0,0,0,240
204,夢符「封魔陣」,2,2,自分を中心に結界を生成する技　範囲は狭いが切り返しには十分な使い勝手を誇る上、空振りしてもしばらくその場に結界が残る,1,2,206,4,0,0,0,0,0,211
206,神技「八方鬼縛陣」,2,4,自分を中心に広範囲の結界を生成　無敵時間を持ちカウンターが可能,1,4,0,0,0,0,0,0,0,230
207,結界「拡散結界」,2,3,四角辺上に攻撃力を有する結界を連続生成する広範囲攻撃カード　結界は後の物ほど遠距離に展開し波紋の様な挙動を取る,1,3,0,0,0,0,0,0,0,220
208,珠符「明珠暗投」,2,1,地面でバウンドする陰陽玉を発射　独特の軌道を描き長時間残るため最初の一手として撒くのも有効,0,2,0,0,0,0,0,0,0,200
209,宝符「陰陽宝玉」,2,2,手元に円形攻撃フィールドを形成掌打のように打ち付ける近接攻撃,1,3,210,4,0,0,0,0,0,212
210,宝具「陰陽鬼神玉」,2,4,大量の霊力で練り上げた陰陽玉　直接攻撃的な使い方に加えて　　長時間の残存を活かす追い込みも強力になった,1,4,0,0,0,0,0,0,0,232
214,神技「天覇風神脚」,2,3,連続で昇天脚を繰り出すカード　攻撃までが早く接近戦において　さまざまな使い方が出来る,1,3,0,0,0,0,0,0,0,221
219,「夢想天生」,2,5,発動すると７つの陰陽玉を装着　この状態で打撃がヒットすると　一つ点灯し、全てを点灯させると大規模な全体攻撃が発動する　,1,5,0,0,0,0,0,0,0,241
