#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,デーモンロードウォーク,1,0,吸血鬼の身体能力を活かし　　　目にも留まらぬ速度で駆け抜けて敵に打撃を加える,0,1,104,1,108,1,0,0,6,100
101,サーヴァントフライヤー,1,1,魔法陣を展開し蝙蝠弾を発射　　魔法陣の位置はランダムであるが広く展開し時間差で攻撃するため牽制と接近の布石に役立つ,0,1,105,1,109,1,0,0,6,120
102,デーモンロードクレイドル,1,2,上空へオーラを纏った突進攻撃　隙は大きいが無敵部分が有り　　カウンター、連続技に役立つ,0,1,106,1,110,1,202,2,6,110
103,デーモンロードアロー,1,4,後方の壁に飛び退き反動で突撃　相手の位置目掛けて角度は固定　突撃に弾幕回避能力が有る,0,1,107,1,111,1,0,0,6,140
104,ヴァンパイアクロウ,1,0,入力を繰り返せば三連続で攻撃を繰り返せる打撃コンビネーション全て当てた時の威力は高い,1,1,0,0,0,0,0,0,6,101
105,チェーンギャング,1,1,鎖の形状をした赤いオーラを発射敵へと向かって伸びる追尾弾で　ホールドによって長さを調整可能強では敵を捕縛する技に変化,1,1,207,3,0,0,0,0,6,121
106,ロケットキックアップ,1,2,高速の楔弾をキックから発射する地上はほぼ無防備だが、頭上の　敵には強力な対抗手段になる,1,1,200,2,0,0,0,0,6,111
107,シーリングフィア,1,4,天井へ移動し逆さ釣りになり　　そこから真下へ向けて高速で落下体当たりと衝撃波で攻撃する,1,1,206,4,0,0,0,0,6,141
108,トリックスターデビル,1,0,敵を瞬時に駆け抜け、後ろから　相手を掻き切る変則突進技　　　相手の後ろへ回る為発生は遅いが突進の緩急をつける効果がある,0,1,209,4,0,0,0,0,6,102
109,デモンズディナーフォーク,1,1,魔力を槍状に収束した弾丸を投擲ボタン押し続けでチャージ可能で同時に投げる槍の本数が増加する,1,1,201,2,0,0,0,0,6,122
110,バンパイアキス,1,2,敵へ抱きつき血を吸う投げ技　　前進して掴むので間合いは広い　ガード不可で体力も回復するので的確に使えばプレッシャーとなる,0,1,208,4,0,0,0,0,6,112
111,スティグマナイザー,1,4,魔力を凝縮して十字状の楔を生成ジャンプから相手に投げつける　形は十字架なんて屁でも無いとの彼女のさり気無いアピールである,0,1,0,0,0,0,0,0,6,142
200,紅符「不夜城レッド」,2,3,周囲を赤いオーラで焼き払う技で迎撃能力が高く切り返しの要　　縦に射程を持つので空中の敵にも強力なスペルとなる,0,2,203,5,0,0,0,0,6,220
201,必殺「ハートブレイク」,2,2,槍状の貫通力が高いオーラを放つ大抵の弾幕を一方的にかき消し　敵を一瞬で貫く　　　　　　　　オーラを武器状に収束する系列はバリエーションに富む,0,2,204,4,0,0,0,0,6,210
202,夜符「デーモンキングクレイドル」,2,2,吸血鬼の身体能力を活かした　　直接攻撃系のスペルカード　　　無敵は無いが上空で行動可能で　自由度の高いカード,1,2,205,4,0,0,0,0,6,211
203,紅魔「スカーレットデビル」,2,5,不夜城レッドの上位版スペル　　効果の及ぶ範囲と威力が激増した存在だけで敵を威圧できる　　　正に赤い悪魔のカードである,0,5,0,0,0,0,0,0,6,240
204,神槍「スピア・ザ・グングニル」,2,4,ハートブレイク上位版　　　　　槍のサイズと威力が向上した　　速度はもはやレーザーに等しく　距離があっても一瞬で敵を穿つ　,1,4,0,0,0,0,0,0,6,230
205,夜王「ドラキュラクレイドル」,2,5,赤いオーラを纏い弾丸と化す技　速度と攻撃範囲に置いて最大級で反撃、連続技の心強い味方　　　悪魔の揺り篭は地獄への超特急,1,4,0,0,0,0,0,0,6,241
206,夜符「バッドレディスクランブル」,2,3,素早く壁に飛びつき、相手へ向け錐揉み体当たりを仕掛ける　　　対弾幕貫通力が高く、後方移動で敵を惑わすことも可能である,1,4,0,0,0,0,0,0,6,221
207,運命「ミゼラブルフェイト」,2,3,鎖の形状をした赤いオーラを発射多数を敵へ向けて伸ばし追跡する,1,3,0,0,0,0,0,0,6,222
208,「ミレニアムの吸血鬼」,2,4,相手の生命力を食らう魔力を纏い一定時間与えたダメージの一部が体力に変換される状態になる　　強力な効果だが、時間中は防御が下がるので諸刃の剣,1,4,0,0,0,0,0,0,6,231
209,悪魔「レミリアストレッチ」,2,4,渾身の力を込めた爪での薙ぎ払い範囲外に出る以外逃げる術は無い本人曰く余りエレガントじゃないとの事だがこういった反則級の　体術も吸血鬼ならでは,1,4,0,0,0,0,0,0,6,232
