#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,妖鬼-密-,1,0,周囲の熱を拳に集めて発火させ　パンチと共に爆炎の塊を射出する拳は打撃、爆炎は飛び道具という二つの属性を持つ技,0,1,104,1,108,1,212,5,9,100
101,地霊-密-,1,2,地中の気脈を集め地形を隆起　　地面から岩が槍となり突き上がる岩だけでなく落下パンチ部分にも攻撃力がある,0,1,105,1,109,1,0,0,9,110
102,妖鬼-疎-,1,1,髪を媒体に自身の分身を発射する一体一体の威力は低いが数があり発射ボタンで行動パターンを制御,0,1,106,1,110,1,0,0,9,120
103,萃鬼,1,4,敵を吸い込むブラックホール弾　発射後一定距離で弾けて効果発動敵の移動を妨害する,0,1,107,1,111,1,200,2,9,140
104,元鬼玉,1,0,周囲の熱を萃めて火の玉を作り　　前方へと投げつける射撃技　　　ホールドで火の玉を巨大化させ　強力な攻撃を行うことも可能,1,1,0,0,0,0,0,0,9,101
105,地霊-疎-,1,2,地面を叩き地霊を呼び起こす　　飛び出した地霊は空を漂って　　接触した敵へダメージを与える,1,1,201,2,0,0,0,0,9,111
106,厭霧,1,1,霧に姿を変えて自由に移動できる移動方向はキーで制御でき　　　ホールドして変化時間を延長可能ただし長時間霧に変化すると　　出現時の硬直も増加する,1,1,206,2,0,0,0,0,9,121
107,疎鬼,1,4,弾を出すホワイトホールを発射　暫くの間周囲を弾幕で制圧する　,1,1,0,0,0,0,0,0,9,141
108,踏鞴,1,0,地面を踏みつけ、周囲に衝撃を　走らせる打撃攻撃の一種　　　　ジャンプする関係で騙され易いが下段攻撃なので注意,0,1,202,3,0,0,0,0,9,102
109,火鬼,1,2,地面を叩き溶岩弾を噴出させる　レベルアップで地面で礫を散らし溶岩の塊は威力が高く、火の礫は飛び散る範囲が広い,1,1,207,3,0,0,0,0,9,112
110,鬼神燐火術,1,1,追尾性の有る青白い炎を吹き出す弾速も早く万能で使いやすい技　,1,1,207,3,0,0,0,0,9,122
111,攫鬼,1,4,吸引力を発生させ敵を引き寄せ　相手を掴み投げ潰すコマンド投げ吸引を利用して不意を付いた　　投げ方が出来る癖の有る技,0,1,208,5,0,0,0,0,9,142
200,萃符「戸隠山投げ」,2,2,辺りの石や岩を萃めて巨岩にし　敵へ勢い良く投げつける技　　　射出は遅いがグレイズが出来ないという珍しい特徴をもつ,0,2,203,4,0,0,0,0,9,210
201,酔神「鬼縛りの術」,2,2,鎖で敵を縛りつけ霊力を散らし　食らった相手の霊珠を破壊する　ダメージは少ないが引き寄せての追撃が可能,0,2,204,4,0,0,0,0,9,211
202,鬼符「ミッシングパワー」,2,2,巨大化して周囲を吹き飛ばす　　巨大化は一瞬で解除されるが　　攻めて来る敵を追い払うには十分,0,3,205,4,0,0,0,0,9,212
203,萃鬼「天手力男投げ」,2,5,完全無敵で掴みかかり敵を岩で　押し固めて投げ飛ばす　　　　　投げの様だが打撃なのでガードで防がれてしまうのが欠点　　　　無敵を利用した使い方がメイン,1,4,0,0,0,0,0,0,9,240
204,酔夢「施餓鬼縛りの術」,2,4,敵を鎖で縛りつけ霊力漏れ状態に陥らせる特殊な技　　　　　　　相手は満足に射撃も行えないため流れを引き寄せる事が出来る　　,1,4,0,0,0,0,0,0,9,230
205,鬼神「ミッシングパープルパワー」,2,4,巨大化した状態で暴れまわる　　敵の攻撃をガードは出来ないが　一切のけぞることは無いため　　一方的な展開に持って行きやすい,1,4,0,0,0,0,0,0,9,231
206,霧符「雲集霧散」,2,1,鬼の霧で壁を作る防御技　　　　霧は敵の弾幕を遮る壁になり　　画面上に暫く停滞してくれる　　,1,2,0,0,0,0,0,0,9,200
207,鬼火「超高密度燐禍術」,2,4,地面を叩き溶岩弾を噴出させる　溶岩は地面で数回分離し飛散　　広範囲を焼き尽くす,1,3,0,0,0,0,0,0,9,232
208,鬼符「大江山悉皆殺し」,2,5,敵を掴み何度も地面に叩き付け　最後は大爆発で吹き飛ばす投げ　ガードで防ぐことは出来ないが　間合いが狭いので掴むには　　　上手く敵の懐に入る必要が有る,1,5,0,0,0,0,0,0,9,241
212,四天王奥義「三歩壊廃」,2,3,巨大化を続けつつパンチを放つ　巨大化すると怯み無効になるため上手く使えば強引にねじ込める　隙は特大なのでバクチで打つ際は要覚悟,0,5,0,0,0,0,0,0,9,220
