#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,古の間欠泉,1,1,足元に水流を呼び寄せ攻撃する　地中で出すと水流に乗って上移動空中で出すと下へ降らせて攻撃　,0,1,104,1,108,1,0,0,19,120
101,大蝦蟇神,1,2,蛙の姿を模したオーラを放つ技　蛙のシルエットそのままの判定で無敵は無いが置いておく様な牽制連続技にと接近戦で効果を発揮　地中及び地上で使用可能,0,1,105,1,109,1,200,2,19,110
102,大地の湖,1,0,地中に向かって頭から飛び込み　体当たりと衝撃で周囲を攻撃する地中でも使え、相手の虚を突ける,0,1,106,1,110,1,0,0,19,100
103,土着神の祟り,1,4,祟り神であるミシャグジさまの　力を雲状にして放つ追尾弾　　　威力は低いが当ると呪いが掛かり相手に状態異常を付与する　　　高レベルは防いでも呪いが掛かる,0,1,107,1,111,1,0,0,19,140
104,水蛙神,1,1,帽子から水で出来たカエルを放つカエルは地面を跳ねて進み、敵の近くへ着地すると大爆発して攻撃カエルの進行は遅いので連携にも,1,1,206,4,0,0,0,0,19,121
105,古の鉄輪,1,2,手元で光を纏った鉄の輪を回転　攻撃すると同時に移動する打撃技空中、若しくはしゃがみ状態から出すことが可能で、頭上の牽制と空中制御の要,1,1,204,2,0,0,0,0,19,111
106,古代翡翠,1,0,地中から輝く翡翠を集め、それを高速の弾丸にして敵へ放つ　　　発射にワンテンポ有るが速度と　威力面で優れる射撃技　　　　　地中と空中で使用可能,1,1,205,4,0,0,0,0,19,101
107,祟られた大地,1,4,地中もしくは立ち状態から　　　自分の足元にミシャグジさまの　力を渦巻くように展開する設置技渦の内部に入ると呪いが掛かり　何らかの状態異常を与える　　　,1,1,208,5,0,0,0,0,19,141
108,雨を呼ぶ雨蛙,1,1,頭上からスプリンクラーの様に　大量の水を散布して攻撃する技　弾が高密度でカバー範囲も広く　比較的スタンダードな射撃となる,1,1,201,2,0,0,0,0,19,122
109,手長足長さん,1,2,手足から四本の追尾光を発する技空中でのみ使用可能で光の持つ　捕捉範囲は画面全体と非常に広い,1,1,207,3,0,0,0,0,19,112
110,蛙石神,1,0,地中から蛙の形をした岩に乗って突進する技、下段で威力が高く　距離が合えば反撃もされ難い　　空中版は地中にワープしつつ発動,1,1,202,3,0,0,0,0,19,102
111,ミシャグジさまの祟り,1,4,使用するとこの系列の技が一切　使えなくなる代わり、以後相手の特定行動に対して防御低下の　　ペナルティを与える　,1,1,212,3,0,0,0,0,19,142
200,土着神「洩矢神」,2,3,巨大なカエル型のオーラを纏い　周囲の敵を弾き飛ばす近距離攻撃無敵時間がある上に速度が速く　判定が強力なので防御にも使える,0,2,209,3,0,0,0,0,19,220
201,源符「諏訪清水」,2,2,吹き付けた息が水流に転じ敵を　押し流す射撃系スペルカードで　射撃としての性能は高水準　　　しゃがみか空中で使用可能,0,2,203,4,0,0,0,0,19,210
202,開宴「二拝二拍一拝」,2,3,巨大な岩の手が現れ合掌のように相手を挟んで押しつぶす打撃技　地中からも奇襲的に使用可能だが隙は大きいので注意,0,3,0,0,0,0,0,0,19,221
203,土着神「ケロちゃん風雨に負けず」,2,3,手元から嵐の様な水弾の乱射　　撒かれた水は長時間に渡って　　辺りに降り注いで相手を妨害する,1,4,0,0,0,0,0,0,19,222
204,神具「洩矢の鉄の輪」,2,2,画面内を跳ね回る鉄の輪を投擲　三つの輪が広範囲に放たれる為　逃げ場の少ない優秀射撃だが　　本体が叩かれると消える点に注意,0,2,0,0,0,0,0,0,19,211
205,源符「厭い川の翡翠」,2,4,画面後方から巨大な鉄砲水が突如襲い掛かってくるスペルカード　大地の創造を司る彼女にとって　川一つ曲げることは造作も無い　全盛期なら,1,4,0,0,0,0,0,0,19,230
206,蛙狩「蛙は口ゆえ蛇に呑まるる」,2,4,地面から蛇の様な岩が飛び出し　蛇に食らい付く射撃の一種で　　発生が遅めだが空中ガード不能　蛙の神様で有る彼女が蛇の造形を使うのは神奈子への対抗意故か？,1,4,0,0,0,0,0,0,19,231
207,土着神「手長足長さま」,2,4,両手足から神力を放つ射撃攻撃　見た目通り大の字に展開される　真横以外隙間の無い無敵技だが　射程が短く空中でしか使えない　,1,3,0,0,0,0,0,0,19,232
208,祟り神「赤口（ミシャグチ）さま」,2,5,祟り神であり諏訪子が従える　　ミシャグジさま達に相手を捧げる諏訪子の周りから広がる呪いの　土に捕まれば逃げる術は無い,0,5,0,0,0,0,0,0,19,240
209,土着神「宝永四年の赤蛙」,2,4,敵を追尾攻撃する分身を二体生成本体は長時間動けないが　　　　分身が敵を細かく追い回す,0,3,0,0,0,0,0,0,19,233
212,蛙休「オールウェイズ冬眠できます」,2,4,地中でのみ出せる技で、その場でおもむろに寝始めて回復を図る　隙が特大で出る所を反撃されるが地中技で出現を誤魔化せる為　　そこはデッキや読み次第となる,0,3,0,0,0,0,0,0,19,234
