#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,坤儀の剣,1,1,気質を地中へ打ち込み隆起させる高威力で左右に広い判定があるが上空の敵には効果が薄い,0,1,104,1,108,1,200,2,14,120
101,天罰の石柱,1,4,要石を落下させて攻撃する　　　レベルアップで石が防壁になり　強力な盾としても機能する,0,1,105,1,109,1,0,0,14,140
102,非想の威光,1,0,要石から気質を針の様に尖らせたレーザー状の飛び道具を連続発射対射撃における貫通力は強力,0,1,106,1,110,1,0,0,14,100
103,非想の剣,1,2,緋想の剣を踏み込みから一閃　　踏み込み中はグレイズ判定が有り弾幕を無理矢理突き進める　　　,0,1,107,1,111,1,0,0,14,110
104,六震-相-,1,1,緋想の剣を地面に打ち込み局地的地震を発生させる全体攻撃　　　相手が地上に居れば攻撃が成立しグレイズでの回避も出来ない反面空中の敵には無力,1,1,203,4,0,0,0,0,14,121
105,守りの要,1,4,石で周囲を守り弾幕避けにする技装着状態で再入力することで石を敵へ向けて飛ばすことも出来る　,1,1,206,3,0,0,0,0,14,141
106,天地プレス,1,0,石で敵を挟み込み押しつぶす　　ホールドで石の間隔を調節し　　ぶつける位置を調整できる　　　,1,1,205,4,0,0,0,0,14,101
107,緋想の剣,1,2,緋想の剣を闇雲に振り回して攻撃狭い範囲だが複数回攻撃し判定も強いため接近戦で使いやすい　　ボタン連打で攻撃を維持できる,1,1,208,2,0,0,0,0,14,111
108,因果の剣,1,1,緋想の剣を豪快に投げる射撃技で剣はブーメランの如く手元に帰り剣を使う技を出すと瞬時に戻る　普通に戻りをキャッチすると隙になる為、戻りの動きに注意,0,1,201,2,0,0,0,0,14,122
109,地精の起床,1,4,地面に小さな要石を打ち込む技　石は時間で成長し、天子の打撃で割る事で、地震が発生する　　　石が育つほど地震も大きくなるが成長しすぎると崩れてしまう,0,1,0,0,0,0,0,0,14,142
110,緋想の剣気,1,0,緋想の剣で気質を操り飛ばす射撃一太刀目の立ち上りで近くを　　二太刀目の打ち降ろしで遠距離を攻撃する二段射撃,0,1,209,3,0,0,0,0,14,102
111,昇天突,1,2,気質を纏って上空へ体当たりする天人の強靭な体ならではの攻撃　地上は出始めに無敵時間が存在　空中は技後に行動可能となる,0,1,202,3,0,0,0,0,14,112
200,地符「不譲土壌の剣」,2,2,気質を地中へ打ち込み地形を　　大きく隆起させて左右を攻撃する隆起の進行が遅いため相対的に　隙が小さい技になった,0,2,0,0,0,0,0,0,14,210
201,非想「非想非非想の剣」,2,2,緋想の剣が持つ力の一つ　　　　気質の封印を施すスペルカード　斬られた敵はしばらくの間天候の影響を一切受けなくなってしまい天候次第で有利な時間を作れる　,0,2,204,4,0,0,0,0,14,211
202,天符「天道是非の剣」,2,3,緋想の剣を構え上空に突撃　　　外した時の隙は絶望的だが　　　無敵技として要る物は揃っている,0,3,0,0,0,0,0,0,14,220
203,地震「先憂後楽の剣」,2,5,地面に剣を刺し地殻変動を発生　しばらく間を置いて地震が起こり地上に居る敵にダメージを与える地上に逃げ場は無いが空には無力時間差も有るので癖の強いスペル,1,4,0,0,0,0,0,0,14,240
204,気符「天啓気象の剣」,2,4,緋想の剣が持つ力の一つ　　　　気質の操作を使ったスペルカード周囲の気質を剣に集め、放つ　　天候が乱れてると高威力になるが現在の天候を終了させてしまう　,1,4,0,0,0,0,0,0,14,230
205,要石「天地開闢プレス」,2,5,画面上空へ大きく高度を取り　　巨大化させた要石を抱えて一気に落下して相手を押しつぶすかなり滅茶苦茶な技,1,4,0,0,0,0,0,0,14,241
206,気符「無念無想の境地」,2,4,一定時間自身の身体強度を上げる効果の続く間ガードは出来ないが被弾してものけぞらなくなる　　実は気合で我慢しているだけとか,1,3,0,0,0,0,0,0,14,231
207,「全人類の緋想天」,2,5,周囲の気質を緋想の剣に凝縮　　下方へ一気に解き放つ超大技　　発動に周囲の気質を全て使う点に注意しておこう,1,5,0,0,0,0,0,0,14,242
208,剣技「気炎万丈の剣」,2,3,緋想の剣を振り回しつつ攻撃し　相手をバラバラに引き裂く打撃技滅多切りしているだけなので　　技と呼んで良い物かは怪しげ,1,2,0,0,0,0,0,0,14,221
209,天気「緋想天促」,2,3,気質を飛ばして攻撃する射撃技　気質は相手に当ると拡散し周囲の天候を活性化させる天気玉に変化,1,3,207,5,0,0,0,0,14,222
