#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,開けて悔しき玉手箱,1,0,上空に隙間を開き、漂流物を落下相手に直撃させて攻撃する　　　,0,1,104,1,108,1,204,2,8,100
101,禅寺に潜む妖蝶,1,2,傘を回して攻撃する打撃技　　　無敵時間は無いが判定は強力　　,0,1,105,1,109,1,0,0,8,110
102,枕石漱流,1,1,弱で飛び道具を吸い込む穴を開く吸い込んだ物はカウントされ　　強で出す「漱石枕流」によって　放出することが出来る,0,1,106,1,110,1,0,0,8,120
103,幻想狂想穴,1,3,隙間の中に退避して移動しつつ　出口から攻撃しつつ登場する　　出すボタンとキー入力で攻撃内容出現地点を制御できる,0,1,107,1,111,1,0,0,8,130
104,至る処に青山あり,1,0,隙間から漂流物を突き出して攻撃扇状に近い距離を広くカバーし　中距離の牽制技になる　　　　　,1,1,206,3,0,0,0,0,8,101
105,幻想卍傘,1,2,傘の上に妖力を卍状に収束し　　それを回転させ飛ばす飛び道具　判定が大きく敵に食らい付き拘束ホールドで射出を遅らせられるがこの状態では攻撃力が無い,1,1,0,0,0,0,0,0,8,111
106,物質と反物質の宇宙,1,1,単体では何の効果も無いスキマ　二つ目を配置することで引き合い接触すると互いが反応して巨大な歪みに変化し攻撃を行う　　　　,1,1,202,2,0,0,0,0,8,121
107,肉体分解機,1,3,隙間を潜行し飛び出しつつ攻撃　ホールドで潜行状態をキープし　左右で移動が可能　　　　　　　強で出すと瞬時に敵の足元を奇襲,1,1,0,0,0,0,0,0,8,131
108,魅惑のエサ,1,0,照準を出現させ、そこへ向け　　高速で飛来する物体を発射する　照準地点は固定だが弾丸の角度は毎回ランダムという特徴がある,1,1,207,2,0,0,0,0,8,102
109,知能と脚の境界,1,2,直線状に境界を走らせ、そこに　存在する物を分断する威力重視技全てに境界を引けると言う事は　二つに分けられぬ物は無いと言う事である,0,1,200,2,0,0,0,0,8,112
110,変容を見る眼,1,1,隙間から覗く目が相手を狙う　　目は敵を監視し追撃を自動で行う支援固定砲台の役を担う　　　　特定の行動を行う点から彼女の　一種の式だと思われる,0,1,208,3,0,0,0,0,8,122
111,キマイラの翼,1,3,隙間の通用門を仕込んでおき　　必要に応じてそこへ瞬間移動する仕込みが必要な分移動が素早く　逃げから連携まで自由自在　　　,0,1,215,5,0,0,0,0,8,132
200,境符「四重結界」,2,3,手元に複数の結界を重ねバリアを形成し近くの敵を攻撃する　　　発生が早く様々な技から繋がり　接近戦での要となる,0,2,203,5,0,0,0,0,8,220
201,式神「八雲藍」,2,3,藍を呼び出し攻撃指示を出す　　藍は直進し、敵を捕捉すると回転敵に攻撃を加える,0,4,0,0,0,0,0,0,8,221
202,境符「二次元と三次元の境界」,2,1,壁に沿って境界が走る特殊な技　境界は数回方向を変え画面に残り攻撃を加えるトラップとなる　　射出時キー入力で後ろにも撃てる,1,2,205,4,0,0,0,0,8,200
203,結界「魅力的な四重結界」,2,4,四重結界を巨大化し、さらに　　吸引効果も付与した上級スペル　判定の巨大化に加え引き寄せる為有効射程は格段に広くなった,0,5,0,0,0,0,0,0,8,230
204,式神「橙」,2,1,藍の式神である橙を間借りする　橙は画面内をバウンドし敵を攻撃藍より間接的な挙動をする　　　式の格が低い分カード消費も低い,1,2,201,4,0,0,0,0,8,201
205,結界「客観結界」,2,3,画面端全面を走る四連結界を発射画面上の全ての端から攻撃　　　相手の安全な領域を削り苦しめる,1,4,0,0,0,0,0,0,8,222
206,幻巣「飛光虫ネスト」,2,3,紫の周囲に無数の隙間が開き　　そこから前方へ弾幕を形成する　敵が背後を取ると射出方向も反転前後に隙は無い,1,3,0,0,0,0,0,0,8,223
207,空餌「中毒性のあるエサ」,2,2,画面上に多数のサイトを展開　　通過する高速飛行物体で攻撃する影響の及ぶ範囲が広く、攻撃が　始まると敵は動き難い,1,2,0,0,0,0,0,0,8,210
208,魔眼「ラプラスの魔」,2,4,辺り一面に相手を凝視する異形の目が大量に現れる。目は敵を監視隙を見せると攻撃を仕掛けてくる紫はこの様な方法で幻想郷全体の動向を監視する事もあるらしい,1,3,0,0,0,0,0,0,8,231
215,廃線「ぶらり廃駅下車の旅」,2,5,隙間から廃電車を突撃させる大技電車はグレイズもガードも不能で威力も非常に高い　　　　　　　その代償に隙間の展開に長時間を要する欠点がある,1,5,0,0,0,0,0,0,8,240
